Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,114.339996,116.370003,113.839996,116.190002,113.903641,7619000
2018-10-17,116.099998,117.220001,115.430000,117.129997,114.825142,7120600
2018-10-18,116.750000,117.129997,115.580002,116.180000,113.893837,6056300
2018-10-19,117.419998,119.169998,117.220001,118.900002,116.560318,10431000
2018-10-22,119.050003,119.690002,117.720001,118.269997,115.942711,8406400
2018-10-23,116.949997,118.489998,115.410004,117.849998,115.530975,8607400
2018-10-24,117.059998,117.059998,111.250000,111.610001,109.413765,11630500
2018-10-25,112.620003,114.690002,112.120003,114.160004,111.913597,7406900
2018-10-26,112.839996,114.139999,112.099998,113.190002,110.962677,7984700
2018-10-29,114.449997,114.940002,111.959999,113.040001,110.815628,9234100
2018-10-30,113.389999,114.889999,112.410004,114.760002,112.501785,7365400
2018-10-31,116.230003,116.519997,114.680000,114.830002,112.570404,9196700
2018-11-01,115.199997,116.279999,114.900002,116.099998,113.815407,6779900
2018-11-02,116.830002,116.949997,114.370003,115.180000,112.913521,6377900
2018-11-05,115.739998,116.220001,115.120003,115.449997,113.178200,7920800
2018-11-06,115.739998,116.839996,115.449997,116.709999,114.413414,5036600
2018-11-07,116.570000,117.290001,115.160004,117.050003,114.746719,8249800
2018-11-08,117.449997,117.830002,115.209999,116.000000,113.717384,11074800
2018-11-09,118.199997,120.199997,117.180000,118.000000,115.678024,16878200
2018-11-12,118.000000,118.459999,116.599998,116.699997,114.403603,9170600
2018-11-13,117.110001,117.779999,116.180000,116.849998,114.550652,4650600
2018-11-14,117.440002,118.220001,116.440002,117.120003,114.815346,7109100
2018-11-15,116.489998,117.430000,115.699997,117.110001,114.805542,7088700
2018-11-16,116.529999,117.339996,115.989998,116.190002,113.903641,7141900
2018-11-19,116.000000,117.830002,114.790001,115.419998,113.148788,9714600
2018-11-20,113.519997,114.589996,111.519997,111.870003,109.668655,11194600
2018-11-21,112.500000,113.989998,112.300003,113.029999,110.805824,7242500
2018-11-23,112.239998,112.790001,111.739998,112.080002,109.874519,3242300
2018-11-26,113.180000,113.180000,111.919998,112.550003,110.335274,7002400
2018-11-27,113.610001,114.099998,112.410004,113.900002,111.658707,7357500
2018-11-28,114.320000,116.300003,114.050003,116.099998,113.815407,9039800
2018-11-29,115.750000,117.139999,115.209999,116.610001,114.315376,10834700
2018-11-30,116.839996,117.070000,115.059998,115.489998,113.217415,16857800
2018-12-03,116.650002,116.919998,114.910004,115.739998,113.462486,9273300
2018-12-04,115.620003,116.290001,112.660004,112.870003,110.648979,10806700
2018-12-06,112.059998,114.339996,111.160004,114.330002,112.080246,10546200
2018-12-07,113.860001,113.989998,111.610001,111.980003,110.627998,8305500
2018-12-10,111.989998,112.290001,109.529999,111.860001,110.509438,7337500
2018-12-11,112.970001,113.720001,111.430000,111.970001,110.618118,6861800
2018-12-12,113.000000,113.980003,112.150002,112.209999,110.855217,7723900
2018-12-13,112.870003,113.599998,112.339996,113.389999,112.020966,6661500
2018-12-14,112.370003,113.919998,112.050003,112.199997,110.845337,7601900
2018-12-17,112.290001,112.889999,110.029999,110.620003,109.284416,7731800
2018-12-18,110.870003,111.080002,108.900002,109.449997,108.128532,6682300
2018-12-19,110.000000,112.129997,108.949997,109.220001,107.901321,9416900
2018-12-20,108.750000,109.209999,106.129997,107.000000,105.708122,9387300
2018-12-21,106.470001,108.750000,103.860001,104.220001,102.961693,15530600
2018-12-24,103.230003,103.900002,100.349998,100.349998,99.138412,7133000
2018-12-26,100.489998,105.849998,100.379997,105.830002,104.552254,9422800
2018-12-27,104.410004,106.550003,102.800003,106.519997,105.233910,8201400
2018-12-28,107.279999,108.519997,106.190002,107.300003,106.004501,7620500
2018-12-31,109.110001,109.669998,107.550003,109.650002,108.326126,7241700
2019-01-02,108.099998,109.139999,107.730003,108.970001,107.654343,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,105.046211,10594700
2019-01-04,107.940002,110.750000,107.250000,109.610001,108.286606,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,109.225136,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,110.074753,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,111.309662,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,111.438095,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,111.289909,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,111.062683,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,110.410652,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,109.570915,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,109.669708,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,109.699348,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,109.264656,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,109.778381,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,109.215263,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,109.748734,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,109.472115,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,109.561035,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,108.800331,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,110.173546,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,109.956207,6557700
2019-02-04,111.410004,111.980003,110.680000,111.800003,110.450172,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,111.299789,13619800
2019-02-06,113.849998,113.919998,111.070000,111.410004,110.064880,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,109.610420,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,110.163673,6395500
2019-02-11,111.769997,111.809998,109.250000,109.440002,108.118668,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,107.881554,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,108.869476,6919700
2019-02-14,109.849998,111.500000,109.540001,110.660004,109.323929,6324300
2019-02-15,111.400002,112.629997,111.029999,112.589996,111.230621,8197300
2019-02-19,112.910004,113.769997,112.830002,113.510002,112.139519,8169600
2019-02-20,113.599998,114.089996,113.290001,113.680000,112.307465,7081500
2019-02-21,113.400002,114.540001,112.870003,114.290001,112.910103,9480100
2019-02-22,114.629997,115.769997,113.949997,115.250000,113.858513,8734700
2019-02-25,115.620003,115.800003,113.459999,113.589996,112.218552,9327700
2019-02-26,113.650002,114.010002,112.849998,113.500000,112.129639,8956000
2019-02-27,113.099998,113.510002,112.459999,112.779999,111.418335,7249500
2019-02-28,112.900002,113.430000,112.750000,112.839996,111.477608,6716700
2019-03-01,113.449997,114.440002,113.449997,114.010002,112.633484,6996900
2019-03-04,114.419998,114.419998,113.089996,114.330002,112.949623,6015000
2019-03-05,114.230003,114.540001,113.760002,114.000000,112.623604,5225100
2019-03-06,114.000000,115.050003,114.000000,114.849998,113.463341,7352800
2019-03-07,114.849998,114.900002,113.470001,114.010002,112.633484,6324000
2019-03-08,113.459999,113.839996,112.900002,113.809998,112.435898,6549100
2019-03-11,114.040001,115.000000,114.029999,114.750000,113.364548,6952700
2019-03-12,114.720001,115.300003,114.040001,114.730003,113.344795,9920300
2019-03-13,114.839996,114.849998,113.720001,114.089996,112.712509,17994500
2019-03-14,114.120003,114.769997,113.930000,114.480003,113.097816,17409600
2019-03-15,114.500000,115.480003,113.680000,114.959999,113.572014,14932700
2019-03-18,113.029999,114.000000,112.459999,113.120003,111.754234,21769800
2019-03-19,112.949997,113.709999,109.800003,110.000000,108.671898,45384400
2019-03-20,110.309998,110.879997,108.050003,109.989998,108.662018,35588700
2019-03-21,110.099998,110.150002,108.370003,108.660004,107.348083,27438900
2019-03-22,108.330002,109.000000,107.510002,108.230003,106.923279,24133800
2019-03-25,108.489998,109.070000,107.320000,107.790001,106.488586,18187500
2019-03-26,108.400002,110.339996,108.269997,110.139999,108.810211,16693100
2019-03-27,110.449997,111.089996,109.730003,110.279999,108.948517,10794800
2019-03-28,110.599998,111.269997,110.239998,110.709999,109.373329,11748900
2019-03-29,111.559998,111.599998,110.389999,111.029999,109.689461,16358800
2019-04-01,111.589996,112.870003,111.379997,112.510002,111.151596,10785100
2019-04-02,113.150002,113.309998,111.919998,111.959999,110.608238,9231800
2019-04-03,112.699997,113.110001,112.209999,112.519997,111.161469,10534900
2019-04-04,113.239998,114.860001,113.029999,114.750000,113.364548,14378400
2019-04-05,114.970001,115.129997,114.309998,115.000000,113.611526,10907900
2019-04-08,115.000000,115.830002,114.639999,114.959999,113.572014,11054200
2019-04-09,115.610001,117.160004,115.279999,116.860001,115.449074,17340300
2019-04-10,117.580002,118.029999,116.279999,117.160004,115.745461,14091100
2019-04-11,117.730003,117.860001,116.320000,116.599998,115.192215,12784500
2019-04-12,127.910004,130.899994,126.360001,130.059998,128.489700,65253500
2019-04-15,131.050003,132.699997,129.789993,132.039993,130.445786,32773700
2019-04-16,131.750000,132.130005,129.559998,129.899994,128.331619,14564300
2019-04-17,129.809998,132.360001,129.279999,131.750000,130.159302,14253700
2019-04-18,131.770004,132.869995,131.110001,132.449997,130.850845,11890600
2019-04-22,131.899994,132.199997,131.029999,131.679993,130.090134,10197500
2019-04-23,133.389999,134.240005,132.649994,133.360001,131.749863,12159300
2019-04-24,133.110001,135.750000,132.720001,135.100006,133.468857,11449500
2019-04-25,135.360001,138.880005,134.839996,137.240005,135.583008,16382500
2019-04-26,138.699997,140.039993,137.509995,139.919998,138.230667,14167600
2019-04-29,142.190002,142.369995,137.610001,139.300003,137.618149,25746100
2019-04-30,139.119995,139.389999,136.029999,136.970001,135.316269,15253100
2019-05-01,137.490005,138.169998,136.240005,136.380005,134.733398,8906700
2019-05-02,135.380005,135.690002,132.380005,134.139999,132.520447,16580400
2019-05-03,135.220001,135.309998,133.779999,134.330002,132.708145,8874400
2019-05-06,132.539993,135.330002,132.300003,135.000000,133.370056,9955600
2019-05-07,135.350006,135.970001,132.759995,133.440002,131.828888,10972700
2019-05-08,133.500000,135.699997,133.309998,134.990005,133.360184,15423500
2019-05-09,135.029999,136.479996,132.839996,133.589996,131.977081,15297100
2019-05-10,133.009995,134.320007,131.229996,134.039993,132.421646,9858500
2019-05-13,131.500000,132.660004,130.550003,131.339996,129.754242,11389900
2019-05-14,133.520004,134.660004,132.050003,133.199997,131.591782,12001700
2019-05-15,132.550003,135.210007,132.039993,134.679993,133.053909,9734100
2019-05-16,135.289993,136.399994,134.809998,135.500000,133.864014,9689400
